Rossz,Szomszedos,Marc. 3--5.,Marc. 10--12.,Marc. 17--19.,Marc. 24--26.,Marc. 31. -- apr. 2.,Tavaszi szunet,apr. 21--23.,apr. 28. -- maj. 1.,Maj. 5--7.,Maj. 12--14.,Maj. 19--21.,Maj. 26--28.,Jun. 3--5.,Jun. 10--12.,Jun. 16--18.,Jun. 23--25.
5,2,,Okapi,,Beluga,Ka,,,Monguz,,,Medve,Lemur,,Bebe,,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,,Lemur,Medve,,Okapi,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,Lemur,,Monguz,,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,Lemur,,,Monguz,
5,2,Bebe,Okapi,,Beluga,Ka,,,Monguz,,,Medve,,Lemur,,,
5,2,,Okapi,,Beluga,Ka,,Bebe,Monguz,,,Medve,,Lemur,,,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,Okapi,,Lemur,Medve,,
5,2,,Medve,,Beluga,Ka,,,Monguz,,,Okapi,,Lemur,Bebe,,
5,2,,,,Beluga,Ka,,Bebe,Monguz,,,Medve,,Lemur,,Okapi,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,Monguz,,Medve,Lemur,,,
5,2,,Bebe,,Beluga,Ka,,,,,Monguz,Medve,,Lemur,,Okapi,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,Monguz,,Lemur,Medve,,
5,2,,Medve,,Beluga,Ka,,,Okapi,,,Monguz,,Lemur,Bebe,,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,,Medve,Lemur,,Monguz,
5,2,,,Bebe,Beluga,Ka,,,Okapi,,,Medve,,Lemur,,Monguz,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,Okapi,Medve,,,Lemur,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,Medve,Okapi,,,Lemur,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,Monguz,Medve,,,Lemur,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,Monguz,,,Lemur,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,Okapi,Medve,,,,Lemur
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,Medve,Okapi,,,,Lemur
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,Medve,,,,Okapi,Lemur
5,2,,,,Beluga,Ka,,,Monguz,,,Medve,,Bebe,,Okapi,Lemur
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,Monguz,Medve,,,,Lemur
5,2,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,Monguz,,,,Lemur
5,2,,Bebe,,Beluga,Lemur,,,Ka,,,Monguz,Medve,,,Okapi,
5,2,,Bebe,,Beluga,Lemur,,,Ka,,,Medve,Monguz,,,Okapi,
5,2,,Bebe,,Beluga,Monguz,,,Ka,,,Medve,Lemur,,,Okapi,
5,2,,Bebe,,Beluga,,,,Ka,,,Monguz,Lemur,Medve,,Okapi,
5,2,,Bebe,,Beluga,,,,Ka,,,Medve,Lemur,Monguz,,Okapi,
5,2,,Okapi,,Beluga,Monguz,,,Ka,,,Medve,,Lemur,Bebe,,
5,2,,Bebe,,Beluga,Monguz,,,Ka,Okapi,,Medve,,Lemur,,,
5,2,,Bebe,,Beluga,Monguz,,,Ka,,,,Medve,Lemur,,Okapi,
5,2,,,Bebe,Beluga,Monguz,,,Ka,,,Medve,,Lemur,,Okapi,
5,2,,Bebe,,Beluga,,,,Ka,,,Medve,,Lemur,Monguz,Okapi,
5,2,,Bebe,,Beluga,,,,Ka,,,Okapi,Medve,Lemur,,Monguz,
5,2,,Bebe,,Beluga,,,,Ka,,,Medve,Okapi,Lemur,,Monguz,
5,2,,Lemur,,Beluga,Monguz,,,Okapi,,Ka,Medve,,Bebe,,,
