Rossz,Szomszedos,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
18,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Kb,Beluga,Ka,Franny,Lemur
18,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Okapi,Beluga,Ka,Franny,Kb
18,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Okapi,Kb,Beluga,Franny,Ka
18,8,Bárány,,Ka,Bálna,Okapi,Lemur,Kb,Zooey,Beluga,Franny,Mongúz
18,8,Bárány,,Ka,Bálna,Zooey,Mongúz,Kb,Okapi,Beluga,Lemur,Franny
18,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Kb,Beluga,Mongúz,Franny
18,8,Bárány,Mongúz,Ka,Bálna,Zooey,Okapi,,Kb,Beluga,Lemur,Franny
18,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Beluga,Mongúz,Kb,Franny
18,8,Bárány,Mongúz,,Bálna,Zooey,Ka,Kb,Okapi,Beluga,Lemur,Franny
18,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Ka,Kb,Beluga,Lemur,Franny
18,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Okapi,Ka,Beluga,Kb,Franny
18,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Okapi,Beluga,Ka,Kb,Franny
18,8,Bárány,Mongúz,,Bálna,Ka,Okapi,Kb,Zooey,Beluga,Lemur,Franny
18,8,Bárány,,Ka,Lemur,Zooey,Bálna,Okapi,Franny,Beluga,Kb,Mongúz
18,8,Bárány,,Ka,Mongúz,Zooey,Bálna,Okapi,Franny,Beluga,Lemur,Kb
18,8,Bárány,,Ka,Lemur,Zooey,Bálna,Kb,Okapi,Beluga,Franny,Mongúz
18,8,Bárány,,Ka,Mongúz,Zooey,Bálna,Kb,Okapi,Beluga,Lemur,Franny
18,8,Bárány,Mongúz,Ka,Kb,Zooey,Okapi,,Bálna,Beluga,Franny,Lemur
18,8,Bárány,,Ka,Mongúz,Zooey,Kb,Okapi,Bálna,Beluga,Franny,Lemur
18,8,Bárány,,Ka,Lemur,Zooey,Mongúz,Okapi,Bálna,Beluga,Franny,Kb
18,8,Bárány,Mongúz,,Lemur,Zooey,Ka,Okapi,Bálna,Beluga,Franny,Kb
18,8,Bárány,Mongúz,,Kb,Zooey,Okapi,Ka,Bálna,Beluga,Franny,Lemur
18,8,Bárány,Mongúz,,Lemur,Zooey,Kb,Okapi,Bálna,Beluga,Franny,Ka
18,8,Bárány,,Ka,Lemur,Zooey,Kb,Okapi,Bálna,Beluga,Mongúz,Franny
18,8,Bárány,Mongúz,Ka,,Zooey,Okapi,Kb,Bálna,Beluga,Lemur,Franny
18,8,Bárány,,Ka,Lemur,Zooey,Mongúz,Okapi,Bálna,Beluga,Kb,Franny
18,8,Bárány,Mongúz,,Lemur,Zooey,Ka,Okapi,Bálna,Beluga,Kb,Franny
18,8,Bárány,Mongúz,,Kb,Zooey,Lemur,Okapi,Bálna,Beluga,Ka,Franny
18,8,Bárány,,Ka,Lemur,Zooey,Kb,Okapi,Beluga,Bálna,Franny,Mongúz
18,8,Bárány,Mongúz,,Ka,Zooey,Okapi,Kb,Beluga,Bálna,Franny,Lemur
18,8,Bárány,Mongúz,,Ka,Zooey,Lemur,Okapi,Beluga,Bálna,Franny,Kb
18,8,Bárány,Mongúz,,Kb,Zooey,Lemur,Okapi,Beluga,Bálna,Franny,Ka
18,8,Bárány,,Ka,Kb,Zooey,Lemur,Okapi,Beluga,Bálna,Mongúz,Franny
18,8,Bárány,Mongúz,Ka,Kb,Zooey,Okapi,,Beluga,Bálna,Lemur,Franny
18,8,Bárány,,Ka,Mongúz,Zooey,Kb,Okapi,Beluga,Bálna,Lemur,Franny
18,8,Bárány,Mongúz,,Ka,Zooey,Lemur,Okapi,Beluga,Bálna,Kb,Franny
18,8,Bárány,Mongúz,,Kb,Zooey,Okapi,Ka,Beluga,Bálna,Lemur,Franny
18,8,Bárány,,Ka,Kb,Zooey,Lemur,Okapi,Franny,Beluga,Mongúz,Bálna
18,8,Bárány,Mongúz,Ka,Kb,Zooey,Okapi,,Franny,Beluga,Lemur,Bálna
18,8,Bárány,,Ka,Mongúz,Zooey,Kb,Okapi,Franny,Beluga,Lemur,Bálna
18,8,Bárány,Mongúz,,Ka,Zooey,Lemur,Okapi,Franny,Beluga,Kb,Bálna
18,8,Bárány,Mongúz,,Kb,Zooey,Okapi,Ka,Franny,Beluga,Lemur,Bálna
18,8,Bárány,,Ka,Lemur,Zooey,Okapi,Kb,Beluga,Mongúz,Franny,Bálna
18,8,Bárány,,Ka,Mongúz,Zooey,Lemur,Okapi,Kb,Beluga,Franny,Bálna
